Site,Structure,Root Code,SV,Saleable,Barcode,Description,Barcode Component,SV,Description Component,Quantity,Saleable
11252,42010,101111062,1,N ,18852049000133,WBPจังโก้เมล็ดทานตะวัน 90กP6 ,8852049000136,0,จังโก้เมล็ดทานตะวันสมุนไพร80ก ,6,Y 
11252,42010,101137843,1,N ,2001028025790,BPปูไทยรสปลาหมึก60ก.P3 ,8850765105098,0,ปูไทยรสปลาหมึก 55 กรัม ,3,Y 
11252,42010,102006987,1,N ,2001028025783,BPปูไทยรสโนริสาหร่าย60ก.P3 ,8850765305092,0,ปูไทยรสโนริสาหร่าย 55 กรัม ,3,Y 
11252,42010,102058592,1,N ,8852023006130,WBPโก๋แก่ถั่วเยือแดงเกลือ40กP6 ,8852023006123,0,โก๋แก่ถั่วลิสงเยื่อแดงเกลือ40ก ,6,Y 
11252,42010,102058636,1,Y ,8859559600382,WBPชาช่าทานตะวัน5รส 45ก P12 ,8859559600375,0,ชาช่าเมล็ดทานตะวัน5รส45กรัม ,12,Y 
11252,42010,102058637,1,Y ,8859559600412,WBPชาช่าทานตะวันมะพร้าว45ก P12 ,8859559600405,0,ชาช่าเมล็ดทานตะวันรสมะพร้าว45กรัม ,12,Y 
11252,42010,102100875,1,Y ,98851727002052,WBPปาปริก้ามันฝรั่ง 65ก P18 ,8851727902052,0,WBPปาปริก้ามันฝรั่ง 56ก P3 ,6,Y 
11252,42010,102125832,1,Y ,8852023006581,BPโก๋แก่พลัสถั่วรวมไทยสไป28ก*6 ,8852023006574,0,โก๋แก่พลัสถั่วรวมไทยสไปซี่28ก. ,6,Y 
11252,42010,102155599,1,Y ,8850718707713,WBPตะวันสาหร่าย67กP3 ,8850718807963,0,ตะวันรสสาหร่ายทรงเครื่อง56-67ก ,3,Y 
11252,42010,102155599,2,N ,8850718908516,WBPตะวันรสสาหร่าย 67กX16 ลัง ,8850718807963,0,ตะวันรสสาหร่ายทรงเครื่อง56-67ก ,16,Y 
11252,42010,102231977,1,Y ,8852023007458,BPโก๋แก่ปากอ้าคาดเชือกวาบิ40*6 ,8852023007434,0,โก๋แก่ปากอ้าคาดเชือกวาซาบิ 40ก ,6,N 
11252,42010,102327122,1,N ,8852023008349,WBPโก๋แก่ลันเตาโรยเกลือ 42ก P6 ,8852023008257,0,โก๋แก่ถั่วลันเตาโรยเกลือ42ก. ,6,Y 
11252,42010,102356559,1,Y ,8851004101031,WBPปาร์ตี้คาราเมล 48ก P3 ,8851004101208,0,ปาร์ตี้คาราเมล 48 กรัม ,3,Y 
11252,42010,102480135,1,Y ,8851004101048,WBPปาร์ตี้ครองแครง 48ก P3 ,8851004101215,0,ปาร์ตี้ครองแครง 48 กรัม ,3,Y 
11252,42010,102485669,1,Y ,8852023009872,BPโก๋แก่แม็กซ์วาซาบิญีปุน35ก*6 ,8852023009810,0,โก๋แก่แม็กซ์วาซาบิ 35ก. ,6,N 
11252,42010,102492607,1,N ,8851234310524,WBPกรีนนัทลันเตาออริจิ70กP3 ,8851234310166,0,กรีนนัทถั่วลันเตากรอบมาตรฐาน70 ,3,Y 
11252,42010,102492608,1,N ,8851234310531,WBPกรีนนัทลันเตาปลาหมึก70กP3 ,8851234310173,0,กรีนนัทถั่วลันเตากรอบหมึก70ก ,3,Y 
11252,42010,102492609,1,N ,8851234310548,WBPกรีนนัทลันเตากุ้ง70กP3 ,8851234310180,0,กรีนนัทถั่วลันเตากรอบกุ้ง70ก ,3,Y 
11252,42010,102501326,1,Y ,8851234310067,WBPกรีนนัทลันเตาซอสพริก82กP3 ,8851234310586,0,กรีนนัทถั่วลันเตากรอบซอสพริก70 ,3,Y 
11252,42010,102507729,2,N ,8850718913398,WBPตะวันรสลาบแซ่บ 67กX16 ลัง ,8850718811137,0,ตะวันรสลาบแซ่บ56-67กรัม ,16,Y 
11252,42010,102507729,1,Y ,8850718709861,WBPตะวันลาบแซ่บ67กP3 ,8850718811137,0,ตะวันรสลาบแซ่บ56-67กรัม ,3,Y 
11252,42010,102651285,1,Y ,8850718710942,WBPตะวันต้นตำรับ 67ก P3 ,8850718812790,0,ตะวันรสต้นตำรับ 67 กรัม ,3,Y 
11252,42010,102651285,2,N ,8850718915286,WBPตะวันต้นตำรับ 67กX16 ลัง ,8850718812790,0,ตะวันรสต้นตำรับ 67 กรัม ,16,Y 
11252,42010,102811982,1,Y ,4800092660641,IMP_ช็อกโกมูโช มิลชอก25กP10 ,4800092660634,0,IMP_ช็อกโกมูโช มิลชอก25ก ,10,Y 
11252,42010,102815400,1,Y ,8854923311314,WBPสแน็คแจ๊คกุ้งพริกเกลือ62กP4 ,8854923311307,0,สแน็คแจ๊คกุ้งคั่วพริกเกลือ 62ก ,4,Y 
11252,42010,102815405,1,Y ,48850309216028,WBPโรลเลอร์ทิน สไปซี่ชีส54กP12 ,8850309216013,0,โรลเลอร์ทินสไปซี่ดับเบิลชีส54ก ,12,Y 
11252,42010,102815406,1,Y ,48850309216066,WBPโรลเลอร์ทินชิลลี่ฮอต54กP12 ,8850309216051,0,โรลเลอร์ทินชิลลีฮอตบอมบ์  54ก ,12,Y 
11252,42010,102822845,1,Y ,28857125291013,WBPไก๋ไก่หนังไก่ดั้งเดิม32กP36 ,8857125291019,0,EXC_ไก่ไก๋ หนังไก่ ดั้งเดิม32ก ,36,N 
